year,km_driven,mileage,engine,max_power,torque,max_torque_rpm,name,fuel,seller_type,transmission,owner,seats,selling_price
2015,70000,20.77,1248,88.76,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,7,580000
2012,120000,19.3,1248,81.86,153.0,2800.0,Toyota,Diesel,Individual,Manual,First Owner,5,235000
2015,50000,17.4,1497,117.3,145.0,4600.0,Honda,Petrol,Individual,Manual,First Owner,5,600000
2016,50000,4.522,998,58.16,77.0,3500.0,Maruti,CNG,Individual,Manual,First Owner,5,360000
2017,50000,20.85,1197,83.14,115.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,550000
2003,90000,19.3,1248,81.86,153.0,2800.0,Maruti,Petrol,Individual,Manual,Second Owner,5,40000
2018,35000,20.51,998,67.0,90.0,3500.0,Maruti,Petrol,Individual,Automatic,First Owner,5,420000
2017,20000,21.21,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Manual,First Owner,5,550000
2018,7800,22.0,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Automatic,First Owner,5,700000
2017,20000,20.4,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Manual,First Owner,5,500000
2019,15000,17.6,2179,147.94,320.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,7,1250000
2013,31377,18.5,1197,82.85,113.7,4000.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,320000
2018,50000,28.4,1248,74.02,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,700000
2015,60000,20.51,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,290000
2012,100000,14.53,1794,138.1,173.0,4000.0,Toyota,Petrol,Individual,Automatic,First Owner,5,550000
2018,5000,21.4,1197,83.1,115.0,4000.0,Maruti,Petrol,Individual,Automatic,First Owner,5,830000
2017,60000,14.1,2179,147.94,320.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,7,800000
2017,80000,20.63,1198,67.0,104.0,4000.0,Datsun,Petrol,Individual,Manual,Second Owner,5,329000
2017,75000,24.3,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,5,775000
2020,32000,20.14,1197,81.86,113.75,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,524000
2015,40000,22.74,796,47.3,69.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,245000
2012,93000,17.0,1197,80.0,111.79581,4000.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,275000
2018,60000,17.57,1193,88.7,140.0,4000.0,Tata,Petrol,Individual,Manual,First Owner,5,520000
2008,120000,19.3,1248,81.86,153.0,2800.0,Maruti,Petrol,Individual,Manual,Second Owner,5,130000
2014,37000,16.95,1498,97.7,134.0,4000.0,Nissan,Petrol,Individual,Manual,First Owner,5,550000
2018,15000,17.0,1497,121.36,150.0,4500.0,Ford,Petrol,Individual,Manual,First Owner,5,910000
2016,140000,20.51,998,67.04,90.0,3500.0,Maruti,Petrol,Individual,Manual,First Owner,5,350000
2013,70000,12.83,2696,162.0,340.0,3250.0,Mahindra,Diesel,Individual,Manual,First Owner,7,900000
2013,120000,17.21,1493,100.0,240.0,2800.0,Mahindra,Diesel,Individual,Manual,Second Owner,7,300000
2010,110000,21.1,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,Second Owner,5,250000
2017,37000,19.67,1582,126.2,259.9,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,1100000
2016,44000,25.17,799,53.3,72.0,4386.0,Renault,Petrol,Individual,Manual,First Owner,5,270000
2015,80000,20.77,1248,88.76,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,7,640000
2015,125000,15.1,2179,140.0,330.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,650000
2017,13500,15.37,1196,73.0,101.0,3000.0,Maruti,Petrol,Individual,Manual,First Owner,5,409999
2011,75000,17.92,1086,62.1,96.1,3000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,165000
2007,120000,13.2,1495,94.0,12.5,3500.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,80000
2012,120000,15.1,2179,140.0,330.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,7,535000
2013,70000,12.99,2494,100.57,200.0,3400.0,Toyota,Diesel,Individual,Manual,First Owner,7,700000
2013,70000,23.4,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,550000
2019,15000,19.0,1199,88.76,110.0,4800.0,Honda,Petrol,Individual,Automatic,First Owner,5,680000
2009,53000,20.36,1197,78.9,111.8,4000.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,200000
2014,120000,23.4,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,Second Owner,5,500000
2016,70000,24.52,1248,88.5,200.0,1750.0,Maruti,Diesel,Individual,Manual,First Owner,7,1000000
2008,120000,14.2,1341,82.9,11.8,3200.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,110000
2012,100000,18.5,1197,80.0,111.79581,4000.0,Hyundai,Petrol,Individual,Manual,Second Owner,5,320000
2005,110000,19.3,1248,81.86,153.0,2800.0,Tata,Diesel,Individual,Manual,Second Owner,5,75000
2015,100000,20.4,1197,83.11,113.0,4200.0,Maruti,Petrol,Individual,Manual,First Owner,5,350000
2013,162500,19.4,1405,70.0,135.4,2500.0,Tata,Diesel,Individual,Manual,First Owner,5,170000
2017,39000,22.54,1396,88.73,219.7,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,800000
2017,75000,26.8,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,500000
2017,50000,17.6,2179,153.86,400.0,2500.0,Tata,Diesel,Individual,Automatic,First Owner,7,1380000
2019,40000,17.3,1497,121.0,300.0,2500.0,Mahindra,Diesel,Individual,Manual,First Owner,8,1300000
2013,92500,22.32,1582,126.3,259.9,2750.0,Hyundai,Diesel,Individual,Manual,First Owner,5,530000
2012,158000,23.4,1248,74.0,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,360000
2012,120000,19.3,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,310000
2015,50000,26.0,1498,98.6,200.0,1750.0,Honda,Diesel,Individual,Manual,Second Owner,5,725000
2012,110000,19.3,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,340000
2017,2000,25.4,1186,73.97,190.25,2250.0,Hyundai,Diesel,Individual,Manual,Second Owner,5,550000
2016,70000,27.28,1047,69.0,140.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,380000
2013,90000,17.97,1498,99.6,134.0,4000.0,Nissan,Petrol,Individual,Automatic,Second Owner,5,350000
2019,2000,18.6,1197,81.86,117.0,4000.0,Hyundai,Petrol,Individual,Manual,First Owner,5,610000
2015,20000,20.85,1197,83.14,115.0,4000.0,Maruti,Petrol,Individual,Manual,First Owner,5,525000
2011,120000,12.8,2494,102.0,20.4,1400.0,Toyota,Diesel,Individual,Manual,First Owner,7,480000
2017,35000,16.55,2498,105.0,247.0,2000.0,Mahindra,Diesel,Individual,Manual,First Owner,6,780000
2012,193000,19.3,1248,73.9,190.0,2000.0,Maruti,Diesel,Individual,Manual,First Owner,5,320000
2014,80000,20.4,1197,81.8,113.0,4200.0,Maruti,Petrol,Individual,Manual,First Owner,5,375000
2019,40000,19.02,1198,67.05,104.0,4000.0,Datsun,Petrol,Individual,Manual,First Owner,5,300000
2015,70000,22.54,1396,88.73,219.7,2750.0,Hyundai,Diesel,Individual,Manual,Fourth & Above Owner,5,500000
2011,122358,12.05,2179,120.0,290.0,2800.0,Mahindra,Diesel,Individual,Manual,First Owner,9,404000
2017,120000,27.28,1047,69.0,140.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,350000
2015,40000,17.57,1193,88.7,140.0,4000.0,Tata,Petrol,Individual,Manual,First Owner,5,380000
2014,33033,19.4,1198,86.8,109.0,4500.0,Honda,Petrol,Dealer,Manual,First Owner,5,335000
2015,63063,18.9,1197,82.0,114.0,4000.0,Hyundai,Petrol,Dealer,Automatic,First Owner,5,465000
2012,60000,21.02,1248,88.76,200.0,3000.0,Tata,Diesel,Individual,Manual,First Owner,5,290000
2005,45000,19.7,796,46.3,62.0,3000.0,Maruti,Petrol,Individual,Manual,Second Owner,5,110000
2007,207890,13.6,2523,63.0,180.0,1500.0,Mahindra,Diesel,Individual,Manual,Second Owner,7,210000
2018,7976,17.9,2143,170.0,400.0,2800.0,Mercedes-Benz,Diesel,Individual,Automatic,First Owner,5,4600000
